Time,Height,Pressure,Temperature
8:34 AM,38.79, 100860.00 Pa, 32.01 C
8:34 AM,38.79, 100860.00 Pa, 32.01 C
8:34 AM,38.96, 100858.00 Pa, 32.01 C
8:34 AM,38.87, 100859.00 Pa, 32.01 C
8:34 AM,38.7, 100861.00 Pa, 32.01 C
8:34 AM,38.62, 100862.00 Pa, 32.01 C
8:34 AM,38.7, 100861.00 Pa, 32.02 C
8:34 AM,38.7, 100861.00 Pa, 32.01 C
8:34 AM,38.96, 100858.00 Pa, 32.01 C
8:34 AM,38.87, 100859.00 Pa, 32.01 C
8:34 AM,38.7, 100861.00 Pa, 32.01 C
8:34 AM,38.7, 100861.00 Pa, 32.01 C
8:34 AM,38.87, 100859.00 Pa, 32.01 C
8:34 AM,38.79, 100860.00 Pa, 32.02 C
8:34 AM,38.53, 100863.00 Pa, 32.02 C
8:34 AM,38.87, 100859.00 Pa, 32.02 C
8:34 AM,38.79, 100860.00 Pa, 32.01 C
8:34 AM,38.96, 100858.00 Pa, 32.01 C
8:34 AM,39.04, 100857.00 Pa, 32.01 C
8:34 AM,38.79, 100860.00 Pa, 32.01 C
8:34 AM,38.7, 100861.00 Pa, 32.02 C
8:34 AM,38.96, 100858.00 Pa, 32.01 C
8:34 AM,38.62, 100862.00 Pa, 32.02 C
8:34 AM,38.62, 100862.00 Pa, 32.01 C
8:34 AM,38.62, 100862.00 Pa, 32.01 C
8:34 AM,38.7, 100861.00 Pa, 32.01 C
8:34 AM,38.7, 100861.00 Pa, 32.02 C
8:34 AM,38.79, 100860.00 Pa, 32.01 C
8:34 AM,38.87, 100859.00 Pa, 32.01 C
8:34 AM,38.79, 100860.00 Pa, 32.01 C
8:34 AM,38.7, 100861.00 Pa, 32.02 C
8:34 AM,38.62, 100862.00 Pa, 32.01 C
8:34 AM,38.62, 100862.00 Pa, 32.02 C
8:34 AM,38.62, 100862.00 Pa, 32.02 C
8:34 AM,38.79, 100860.00 Pa, 32.01 C
8:34 AM,38.7, 100861.00 Pa, 32.01 C
8:34 AM,38.7, 100861.00 Pa, 32.01 C
8:34 AM,38.87, 100859.00 Pa, 32.02 C
8:34 AM,38.7, 100861.00 Pa, 32.01 C
8:34 AM,38.7, 100861.00 Pa, 32.01 C
8:34 AM,38.79, 100860.00 Pa, 32.01 C
8:34 AM,38.79, 100860.00 Pa, 32.01 C
8:34 AM,38.79, 100860.00 Pa, 32.01 C
8:34 AM,38.87, 100859.00 Pa, 32.01 C
8:34 AM,38.53, 100863.00 Pa, 32.01 C
8:34 AM,38.79, 100860.00 Pa, 32.01 C
8:34 AM,38.87, 100859.00 Pa, 32.01 C
8:34 AM,38.87, 100859.00 Pa, 32.00 C
8:34 AM,38.62, 100862.00 Pa, 32.01 C
8:34 AM,38.45, 100864.00 Pa, 32.01 C
8:34 AM,38.7, 100861.00 Pa, 32.01 C
8:34 AM,38.62, 100862.00 Pa, 32.01 C
8:34 AM,38.7, 100861.00 Pa, 32.02 C
8:34 AM,38.53, 100863.00 Pa, 32.02 C
8:34 AM,38.7, 100861.00 Pa, 32.01 C
8:34 AM,38.45, 100864.00 Pa, 32.02 C
8:34 AM,38.79, 100860.00 Pa, 32.02 C
8:34 AM,38.96, 100858.00 Pa, 32.01 C
8:34 AM,38.96, 100858.00 Pa, 32.01 C
8:35 AM,38.96, 100858.00 Pa, 32.02 C
8:35 AM,38.79, 100860.00 Pa, 32.02 C
8:35 AM,39.12, 100856.00 Pa, 32.02 C
8:35 AM,38.96, 100858.00 Pa, 32.02 C
8:35 AM,38.79, 100860.00 Pa, 32.01 C
8:35 AM,38.87, 100859.00 Pa, 32.02 C
8:35 AM,38.79, 100860.00 Pa, 32.01 C
8:35 AM,38.96, 100858.00 Pa, 32.01 C
8:35 AM,38.87, 100859.00 Pa, 32.01 C
8:35 AM,38.7, 100861.00 Pa, 32.01 C
8:35 AM,38.7, 100861.00 Pa, 32.02 C
8:35 AM,38.7, 100861.00 Pa, 32.01 C
8:35 AM,38.96, 100858.00 Pa, 32.02 C
8:35 AM,38.87, 100859.00 Pa, 32.01 C
8:35 AM,39.04, 100857.00 Pa, 32.01 C
8:35 AM,38.62, 100862.00 Pa, 32.01 C
8:35 AM,38.7, 100861.00 Pa, 32.02 C
8:35 AM,38.79, 100860.00 Pa, 32.01 C
8:35 AM,39.04, 100857.00 Pa, 32.01 C
8:35 AM,38.62, 100862.00 Pa, 32.01 C
8:35 AM,38.7, 100861.00 Pa, 32.01 C
8:35 AM,38.79, 100860.00 Pa, 32.01 C
8:35 AM,38.7, 100861.00 Pa, 32.01 C
8:35 AM,39.12, 100856.00 Pa, 32.01 C
8:35 AM,38.87, 100859.00 Pa, 32.01 C
8:35 AM,38.96, 100858.00 Pa, 32.01 C
8:35 AM,38.79, 100860.00 Pa, 32.01 C
8:35 AM,38.62, 100862.00 Pa, 32.02 C
8:35 AM,38.87, 100859.00 Pa, 32.02 C
8:35 AM,38.7, 100861.00 Pa, 32.01 C
8:35 AM,38.87, 100859.00 Pa, 32.01 C
8:35 AM,38.87, 100859.00 Pa, 32.01 C
8:35 AM,38.79, 100860.00 Pa, 32.01 C
8:35 AM,38.79, 100860.00 Pa, 32.01 C
8:35 AM,38.62, 100862.00 Pa, 32.01 C
8:35 AM,38.87, 100859.00 Pa, 32.01 C
8:35 AM,38.7, 100861.00 Pa, 32.02 C
8:35 AM,38.96, 100858.00 Pa, 32.00 C
8:35 AM,38.87, 100859.00 Pa, 32.02 C
8:35 AM,38.87, 100859.00 Pa, 32.02 C
8:35 AM,38.87, 100859.00 Pa, 32.02 C
8:35 AM,38.96, 100858.00 Pa, 32.02 C
8:35 AM,38.96, 100858.00 Pa, 32.01 C
8:35 AM,38.87, 100859.00 Pa, 32.02 C
8:35 AM,38.7, 100861.00 Pa, 32.01 C
8:35 AM,38.53, 100863.00 Pa, 32.01 C
8:35 AM,38.62, 100862.00 Pa, 32.02 C
8:35 AM,38.7, 100861.00 Pa, 32.01 C
8:35 AM,38.79, 100860.00 Pa, 32.02 C
8:35 AM,38.7, 100861.00 Pa, 32.01 C
8:35 AM,38.62, 100862.00 Pa, 32.01 C
8:35 AM,39.04, 100857.00 Pa, 32.02 C
8:35 AM,38.96, 100858.00 Pa, 32.02 C
8:35 AM,38.87, 100859.00 Pa, 32.01 C
8:35 AM,38.87, 100859.00 Pa, 32.02 C
8:35 AM,39.12, 100856.00 Pa, 32.02 C
8:35 AM,38.96, 100858.00 Pa, 32.01 C
8:35 AM,38.96, 100858.00 Pa, 32.01 C
8:35 AM,38.96, 100858.00 Pa, 32.01 C
8:35 AM,38.79, 100860.00 Pa, 32.02 C
8:36 AM,38.62, 100862.00 Pa, 32.02 C
8:36 AM,38.87, 100859.00 Pa, 32.02 C
8:36 AM,38.7, 100861.00 Pa, 32.02 C
8:36 AM,38.53, 100863.00 Pa, 32.02 C
8:36 AM,38.79, 100860.00 Pa, 32.02 C
8:36 AM,38.79, 100860.00 Pa, 32.01 C
8:36 AM,38.53, 100863.00 Pa, 32.03 C
8:36 AM,38.7, 100861.00 Pa, 32.01 C
8:36 AM,38.87, 100859.00 Pa, 32.02 C
8:36 AM,38.87, 100859.00 Pa, 32.02 C
8:36 AM,38.96, 100858.00 Pa, 32.02 C
8:36 AM,38.53, 100863.00 Pa, 32.02 C
8:36 AM,38.87, 100859.00 Pa, 32.02 C
8:36 AM,39.04, 100857.00 Pa, 32.02 C
8:36 AM,39.04, 100857.00 Pa, 32.02 C
8:36 AM,39.04, 100857.00 Pa, 32.02 C
8:36 AM,38.7, 100861.00 Pa, 32.02 C
8:36 AM,38.79, 100860.00 Pa, 32.02 C
8:36 AM,38.79, 100860.00 Pa, 32.02 C
8:36 AM,38.79, 100860.00 Pa, 32.02 C
8:36 AM,38.45, 100864.00 Pa, 32.03 C
8:36 AM,38.79, 100860.00 Pa, 32.02 C
8:36 AM,38.87, 100859.00 Pa, 32.03 C
8:36 AM,38.79, 100860.00 Pa, 32.02 C
8:36 AM,39.12, 100856.00 Pa, 32.02 C
8:36 AM,38.96, 100858.00 Pa, 32.02 C
8:36 AM,38.96, 100858.00 Pa, 32.02 C
8:36 AM,38.62, 100862.00 Pa, 32.03 C
8:36 AM,39.04, 100857.00 Pa, 32.02 C
8:36 AM,38.96, 100858.00 Pa, 32.02 C
8:36 AM,38.87, 100859.00 Pa, 32.02 C
8:36 AM,38.87, 100859.00 Pa, 32.02 C
8:36 AM,38.79, 100860.00 Pa, 32.02 C
8:36 AM,39.12, 100856.00 Pa, 32.01 C
8:36 AM,38.96, 100858.00 Pa, 32.02 C
8:36 AM,38.79, 100860.00 Pa, 32.02 C
8:36 AM,38.87, 100859.00 Pa, 32.01 C
8:36 AM,38.96, 100858.00 Pa, 32.02 C
8:36 AM,38.87, 100859.00 Pa, 32.01 C
8:36 AM,38.79, 100860.00 Pa, 32.02 C
8:36 AM,38.87, 100859.00 Pa, 32.01 C
8:36 AM,38.7, 100861.00 Pa, 32.02 C
8:36 AM,38.62, 100862.00 Pa, 32.02 C
8:36 AM,38.96, 100858.00 Pa, 32.02 C
8:36 AM,38.7, 100861.00 Pa, 32.02 C
8:36 AM,38.7, 100861.00 Pa, 32.02 C
8:36 AM,38.79, 100860.00 Pa, 32.02 C
8:36 AM,38.62, 100862.00 Pa, 32.02 C
8:36 AM,38.7, 100861.00 Pa, 32.02 C
8:36 AM,38.62, 100862.00 Pa, 32.02 C
8:36 AM,38.7, 100861.00 Pa, 32.02 C
8:36 AM,38.96, 100858.00 Pa, 32.02 C
8:36 AM,38.53, 100863.00 Pa, 32.02 C
8:36 AM,38.53, 100863.00 Pa, 32.03 C
8:36 AM,39.16, 100855.00 Pa, 32.03 C
8:36 AM,39.21, 100854.00 Pa, 32.04 C
8:36 AM,39.21, 100855.00 Pa, 32.04 C
8:36 AM,38.87, 100859.00 Pa, 32.04 C
8:36 AM,39.12, 100856.00 Pa, 32.03 C
8:36 AM,39.37, 100853.00 Pa, 32.03 C
8:37 AM,39.21, 100855.00 Pa, 32.03 C
8:37 AM,39.12, 100856.00 Pa, 32.04 C
8:37 AM,39.37, 100853.00 Pa, 32.04 C
8:37 AM,39.29, 100854.00 Pa, 32.04 C
8:37 AM,39.37, 100853.00 Pa, 32.04 C
8:37 AM,38.96, 100858.00 Pa, 32.04 C
8:37 AM,39.04, 100857.00 Pa, 32.04 C
8:37 AM,39.04, 100857.00 Pa, 32.05 C
8:37 AM,39.21, 100855.00 Pa, 32.03 C
8:37 AM,39.37, 100853.00 Pa, 32.04 C
8:37 AM,39.21, 100855.00 Pa, 32.04 C
8:37 AM,39.21, 100855.00 Pa, 32.04 C
8:37 AM,39.21, 100855.00 Pa, 32.04 C
8:37 AM,39.12, 100856.00 Pa, 32.04 C
8:37 AM,38.96, 100858.00 Pa, 32.04 C
8:37 AM,38.96, 100858.00 Pa, 32.04 C
8:37 AM,39.04, 100857.00 Pa, 32.04 C
8:37 AM,39.12, 100856.00 Pa, 32.04 C
8:37 AM,39.21, 100855.00 Pa, 32.04 C
8:37 AM,38.87, 100859.00 Pa, 32.04 C
8:37 AM,39.04, 100857.00 Pa, 32.04 C
8:37 AM,39.12, 100856.00 Pa, 32.04 C
8:37 AM,39.04, 100857.00 Pa, 32.04 C
8:37 AM,39.21, 100855.00 Pa, 32.04 C
8:37 AM,39.29, 100854.00 Pa, 32.04 C
8:37 AM,39.45, 100852.00 Pa, 32.04 C
8:37 AM,39.12, 100856.00 Pa, 32.05 C
8:37 AM,38.96, 100858.00 Pa, 32.05 C
8:37 AM,38.79, 100860.00 Pa, 32.05 C
8:37 AM,39.29, 100854.00 Pa, 32.04 C
8:37 AM,39.21, 100855.00 Pa, 32.04 C
8:37 AM,39.12, 100856.00 Pa, 32.04 C
8:37 AM,39.04, 100857.00 Pa, 32.04 C
8:37 AM,38.87, 100859.00 Pa, 32.05 C
8:37 AM,38.87, 100859.00 Pa, 32.05 C
8:37 AM,39.21, 100855.00 Pa, 32.04 C
8:37 AM,39.21, 100855.00 Pa, 32.04 C
8:37 AM,39.21, 100855.00 Pa, 32.04 C
8:37 AM,39.21, 100855.00 Pa, 32.04 C
8:37 AM,39.21, 100855.00 Pa, 32.03 C
8:37 AM,38.96, 100858.00 Pa, 32.04 C
8:37 AM,39.04, 100857.00 Pa, 32.04 C
8:37 AM,39.04, 100857.00 Pa, 32.04 C
8:37 AM,39.12, 100856.00 Pa, 32.04 C
8:37 AM,39.21, 100855.00 Pa, 32.04 C
8:37 AM,39.21, 100855.00 Pa, 32.04 C
8:37 AM,39.04, 100857.00 Pa, 32.04 C
8:37 AM,39.04, 100857.00 Pa, 32.04 C
8:37 AM,38.87, 100859.00 Pa, 32.03 C
8:37 AM,38.53, 100863.00 Pa, 32.04 C
8:37 AM,38.87, 100859.00 Pa, 32.04 C
8:37 AM,38.96, 100858.00 Pa, 32.04 C
8:37 AM,38.87, 100859.00 Pa, 32.04 C
8:37 AM,38.62, 100862.00 Pa, 32.04 C
8:37 AM,38.87, 100859.00 Pa, 32.04 C
8:37 AM,38.96, 100858.00 Pa, 32.03 C
8:37 AM,38.87, 100859.00 Pa, 32.04 C
8:37 AM,38.87, 100859.00 Pa, 32.03 C
8:37 AM,39.21, 100855.00 Pa, 32.04 C
8:37 AM,39.04, 100857.00 Pa, 32.03 C
8:38 AM,39.12, 100856.00 Pa, 32.04 C
8:38 AM,39.29, 100854.00 Pa, 32.04 C
8:38 AM,39.04, 100857.00 Pa, 32.04 C
8:38 AM,39.12, 100856.00 Pa, 32.04 C
8:38 AM,38.87, 100859.00 Pa, 32.04 C
8:38 AM,39.12, 100856.00 Pa, 32.04 C
8:38 AM,39.12, 100856.00 Pa, 32.04 C
8:38 AM,39.12, 100856.00 Pa, 32.04 C
8:38 AM,38.96, 100858.00 Pa, 32.04 C
8:38 AM,39.12, 100856.00 Pa, 32.04 C
8:38 AM,39.21, 100855.00 Pa, 32.04 C
8:38 AM,39.29, 100854.00 Pa, 32.03 C
8:38 AM,39.29, 100854.00 Pa, 32.04 C
8:38 AM,39.21, 100855.00 Pa, 32.04 C
8:38 AM,39.21, 100855.00 Pa, 32.04 C
8:38 AM,39.71, 100849.00 Pa, 32.04 C
8:38 AM,39.12, 100856.00 Pa, 32.04 C
8:38 AM,39.37, 100853.00 Pa, 32.04 C
8:38 AM,39.21, 100855.00 Pa, 32.04 C
8:38 AM,39.54, 100851.00 Pa, 32.04 C
8:38 AM,39.54, 100851.00 Pa, 32.04 C
8:38 AM,39.37, 100853.00 Pa, 32.04 C
8:38 AM,38.96, 100858.00 Pa, 32.04 C
8:38 AM,38.79, 100860.00 Pa, 32.04 C
8:38 AM,39.04, 100857.00 Pa, 32.04 C
8:38 AM,38.96, 100858.00 Pa, 32.04 C
8:38 AM,39.29, 100854.00 Pa, 32.04 C
8:38 AM,39.04, 100857.00 Pa, 32.04 C
8:38 AM,38.96, 100858.00 Pa, 32.04 C
8:38 AM,39.04, 100857.00 Pa, 32.04 C
8:38 AM,39.12, 100856.00 Pa, 32.04 C
8:38 AM,39.21, 100855.00 Pa, 32.04 C
8:38 AM,39.21, 100855.00 Pa, 32.04 C
8:38 AM,39.45, 100852.00 Pa, 32.05 C
8:38 AM,39.45, 100852.00 Pa, 32.04 C
8:38 AM,39.21, 100855.00 Pa, 32.04 C
8:38 AM,39.04, 100857.00 Pa, 32.04 C
8:38 AM,39.37, 100853.00 Pa, 32.04 C
8:38 AM,39.37, 100853.00 Pa, 32.04 C
8:38 AM,39.21, 100855.00 Pa, 32.04 C
8:38 AM,39.45, 100852.00 Pa, 32.04 C
8:38 AM,39.21, 100855.00 Pa, 32.04 C
8:38 AM,39.12, 100856.00 Pa, 32.04 C
8:38 AM,39.37, 100853.00 Pa, 32.04 C
8:38 AM,39.45, 100852.00 Pa, 32.03 C
8:38 AM,39.37, 100853.00 Pa, 32.05 C
8:38 AM,39.37, 100853.00 Pa, 32.04 C
8:38 AM,39.45, 100852.00 Pa, 32.04 C
8:38 AM,39.62, 100850.00 Pa, 32.04 C
8:38 AM,39.71, 100849.00 Pa, 32.04 C
8:38 AM,39.54, 100851.00 Pa, 32.04 C
8:38 AM,39.62, 100850.00 Pa, 32.04 C
8:38 AM,39.45, 100852.00 Pa, 32.04 C
8:38 AM,39.87, 100847.00 Pa, 32.04 C
8:38 AM,39.71, 100849.00 Pa, 32.04 C
8:38 AM,39.79, 100848.00 Pa, 32.04 C
8:38 AM,39.96, 100846.00 Pa, 32.04 C
8:38 AM,39.87, 100847.00 Pa, 32.04 C
8:38 AM,39.71, 100849.00 Pa, 32.04 C
8:38 AM,39.79, 100848.00 Pa, 32.04 C
8:39 AM,39.79, 100848.00 Pa, 32.05 C
8:39 AM,39.96, 100846.00 Pa, 32.05 C
8:39 AM,39.96, 100846.00 Pa, 32.05 C
8:39 AM,39.79, 100848.00 Pa, 32.05 C
8:39 AM,39.96, 100846.00 Pa, 32.05 C
8:39 AM,39.87, 100847.00 Pa, 32.05 C
8:39 AM,39.79, 100848.00 Pa, 32.05 C
8:39 AM,39.87, 100847.00 Pa, 32.04 C
8:39 AM,39.87, 100847.00 Pa, 32.05 C
8:39 AM,39.87, 100847.00 Pa, 32.04 C
8:39 AM,40.04, 100845.00 Pa, 32.04 C
8:39 AM,40.29, 100842.00 Pa, 32.04 C
8:39 AM,39.96, 100846.00 Pa, 32.05 C
8:39 AM,40.12, 100844.00 Pa, 32.05 C
8:39 AM,40.04, 100845.00 Pa, 32.05 C
8:39 AM,40.04, 100845.00 Pa, 32.05 C
8:39 AM,40.12, 100844.00 Pa, 32.05 C
8:39 AM,39.96, 100846.00 Pa, 32.04 C
8:39 AM,40.12, 100844.00 Pa, 32.05 C
8:39 AM,39.96, 100846.00 Pa, 32.06 C
8:39 AM,39.87, 100847.00 Pa, 32.05 C
8:39 AM,39.96, 100846.00 Pa, 32.05 C
8:39 AM,40.04, 100845.00 Pa, 32.05 C
8:39 AM,39.79, 100848.00 Pa, 32.05 C
8:39 AM,40.12, 100844.00 Pa, 32.05 C
8:39 AM,39.79, 100848.00 Pa, 32.05 C
8:39 AM,39.96, 100846.00 Pa, 32.05 C
8:39 AM,39.79, 100848.00 Pa, 32.06 C
8:39 AM,39.87, 100847.00 Pa, 32.05 C
8:39 AM,40.04, 100845.00 Pa, 32.06 C
8:39 AM,40.04, 100845.00 Pa, 32.06 C
8:39 AM,39.71, 100849.00 Pa, 32.06 C
8:39 AM,39.96, 100846.00 Pa, 32.06 C
8:39 AM,40.12, 100844.00 Pa, 32.06 C
8:39 AM,39.96, 100846.00 Pa, 32.06 C
8:39 AM,39.87, 100847.00 Pa, 32.06 C
8:39 AM,39.71, 100849.00 Pa, 32.05 C
8:39 AM,39.96, 100846.00 Pa, 32.05 C
8:39 AM,39.96, 100846.00 Pa, 32.06 C
8:39 AM,39.79, 100848.00 Pa, 32.05 C
8:39 AM,39.79, 100848.00 Pa, 32.05 C
8:39 AM,39.87, 100847.00 Pa, 32.06 C
8:39 AM,39.79, 100848.00 Pa, 32.06 C
8:39 AM,39.62, 100850.00 Pa, 32.06 C
8:39 AM,39.71, 100849.00 Pa, 32.05 C
8:39 AM,39.45, 100852.00 Pa, 32.06 C
8:39 AM,39.71, 100849.00 Pa, 32.06 C
8:39 AM,39.87, 100847.00 Pa, 32.05 C
8:39 AM,39.62, 100850.00 Pa, 32.06 C
8:39 AM,39.62, 100850.00 Pa, 32.06 C
8:39 AM,39.96, 100846.00 Pa, 32.06 C
8:39 AM,39.87, 100847.00 Pa, 32.06 C
8:39 AM,39.79, 100848.00 Pa, 32.05 C
8:39 AM,39.87, 100847.00 Pa, 32.06 C
8:39 AM,39.79, 100848.00 Pa, 32.06 C
8:39 AM,40.12, 100844.00 Pa, 32.05 C
8:39 AM,40.21, 100843.00 Pa, 32.05 C
8:39 AM,40.12, 100844.00 Pa, 32.05 C
8:39 AM,40.29, 100842.00 Pa, 32.05 C
8:39 AM,40.46, 100840.00 Pa, 32.06 C
8:40 AM,40.62, 100838.00 Pa, 32.06 C
8:40 AM,40.46, 100840.00 Pa, 32.06 C
8:40 AM,40.37, 100841.00 Pa, 32.06 C
