Time,Humidity
8:34 AM, Humidity: 73.00 % 
8:34 AM, Humidity: 73.00 % 
8:34 AM, Humidity: 73.10 % 
8:34 AM, Humidity: 73.20 % 
8:34 AM, Humidity: 73.20 % 
8:34 AM, Humidity: 73.20 % 
8:34 AM, Humidity: 73.30 % 
8:34 AM, Humidity: 73.40 % 
8:34 AM, Humidity: 73.50 % 
8:34 AM, Humidity: 73.40 % 
8:34 AM, Humidity: 73.50 % 
8:34 AM, Humidity: 73.50 % 
8:34 AM, Humidity: 73.60 % 
8:34 AM, Humidity: 73.50 % 
8:34 AM, Humidity: 73.60 % 
8:34 AM, Humidity: 73.60 % 
8:34 AM, Humidity: 73.70 % 
8:34 AM, Humidity: 73.60 % 
8:34 AM, Humidity: 73.70 % 
8:34 AM, Humidity: 73.70 % 
8:34 AM, Humidity: 73.70 % 
8:34 AM, Humidity: 73.80 % 
8:34 AM, Humidity: 73.90 % 
8:34 AM, Humidity: 73.80 % 
8:34 AM, Humidity: 73.90 % 
8:34 AM, Humidity: 73.90 % 
8:34 AM, Humidity: 73.90 % 
8:34 AM, Humidity: 73.90 % 
8:34 AM, Humidity: 73.90 % 
8:34 AM, Humidity: 74.00 % 
8:34 AM, Humidity: 74.00 % 
8:34 AM, Humidity: 74.10 % 
8:34 AM, Humidity: 74.10 % 
8:34 AM, Humidity: 74.20 % 
8:34 AM, Humidity: 74.10 % 
8:34 AM, Humidity: 74.10 % 
8:34 AM, Humidity: 74.20 % 
8:34 AM, Humidity: 74.20 % 
8:34 AM, Humidity: 74.20 % 
8:34 AM, Humidity: 74.20 % 
8:34 AM, Humidity: 74.20 % 
8:34 AM, Humidity: 74.30 % 
8:34 AM, Humidity: 74.40 % 
8:34 AM, Humidity: 74.40 % 
8:34 AM, Humidity: 74.40 % 
8:34 AM, Humidity: 74.50 % 
8:34 AM, Humidity: 74.50 % 
8:34 AM, Humidity: 74.60 % 
8:34 AM, Humidity: 74.50 % 
8:34 AM, Humidity: 74.60 % 
8:34 AM, Humidity: 74.50 % 
8:34 AM, Humidity: 74.70 % 
8:34 AM, Humidity: 74.60 % 
8:34 AM, Humidity: 74.70 % 
8:34 AM, Humidity: 74.60 % 
8:34 AM, Humidity: 74.60 % 
8:34 AM, Humidity: 74.60 % 
8:34 AM, Humidity: 74.40 % 
8:34 AM, Humidity: 74.40 % 
8:35 AM, Humidity: 74.50 % 
8:35 AM, Humidity: 74.50 % 
8:35 AM, Humidity: 74.40 % 
8:35 AM, Humidity: 74.50 % 
8:35 AM, Humidity: 74.50 % 
8:35 AM, Humidity: 74.30 % 
8:35 AM, Humidity: 74.40 % 
8:35 AM, Humidity: 74.40 % 
8:35 AM, Humidity: 74.20 % 
8:35 AM, Humidity: 74.30 % 
8:35 AM, Humidity: 74.20 % 
8:35 AM, Humidity: 74.00 % 
8:35 AM, Humidity: 73.80 % 
8:35 AM, Humidity: 73.60 % 
8:35 AM, Humidity: 73.30 % 
8:35 AM, Humidity: 73.50 % 
8:35 AM, Humidity: 73.50 % 
8:35 AM, Humidity: 73.60 % 
8:35 AM, Humidity: 73.50 % 
8:35 AM, Humidity: 73.50 % 
8:35 AM, Humidity: 73.50 % 
8:35 AM, Humidity: 73.50 % 
8:35 AM, Humidity: 73.60 % 
8:35 AM, Humidity: 74.30 % 
8:35 AM, Humidity: 74.30 % 
8:35 AM, Humidity: 74.90 % 
8:35 AM, Humidity: 75.40 % 
8:35 AM, Humidity: 75.00 % 
8:35 AM, Humidity: 77.00 % 
8:35 AM, Humidity: 75.90 % 
8:35 AM, Humidity: 75.40 % 
8:35 AM, Humidity: 74.70 % 
