Time,H2_Concentration
8:34 AM,21ppm
8:34 AM,21ppm
8:34 AM,21ppm
8:34 AM,21ppm
8:34 AM,21ppm
8:34 AM,21ppm
8:34 AM,21ppm
8:34 AM,21ppm
8:34 AM,21ppm
8:34 AM,21ppm
8:34 AM,20ppm
8:34 AM,20ppm
8:34 AM,20ppm
8:34 AM,20ppm
8:34 AM,20ppm
8:34 AM,20ppm
8:34 AM,20ppm
8:34 AM,20ppm
8:34 AM,20ppm
8:34 AM,20ppm
8:34 AM,20ppm
8:34 AM,20ppm
8:34 AM,20ppm
8:34 AM,20ppm
8:34 AM,20ppm
8:34 AM,20ppm
8:34 AM,20ppm
8:34 AM,20ppm
8:34 AM,20ppm
8:34 AM,20ppm
8:34 AM,20ppm
8:34 AM,20ppm
8:34 AM,19ppm
8:34 AM,19ppm
8:34 AM,19ppm
8:34 AM,19ppm
8:34 AM,19ppm
8:34 AM,19ppm
8:34 AM,19ppm
8:34 AM,19ppm
8:34 AM,17ppm
8:34 AM,18ppm
8:34 AM,18ppm
8:34 AM,18ppm
8:34 AM,18ppm
8:34 AM,18ppm
8:34 AM,18ppm
8:34 AM,18ppm
8:34 AM,18ppm
8:34 AM,18ppm
8:34 AM,18ppm
8:34 AM,18ppm
8:34 AM,18ppm
8:34 AM,18ppm
8:34 AM,18ppm
8:34 AM,18ppm
8:34 AM,18ppm
8:34 AM,18ppm
8:34 AM,18ppm
8:35 AM,18ppm
8:35 AM,18ppm
8:35 AM,18ppm
8:35 AM,18ppm
8:35 AM,18ppm
8:35 AM,18ppm
8:35 AM,18ppm
8:35 AM,18ppm
8:35 AM,18ppm
8:35 AM,18ppm
8:35 AM,18ppm
8:35 AM,17ppm
8:35 AM,17ppm
8:35 AM,17ppm
8:35 AM,17ppm
8:35 AM,17ppm
8:35 AM,17ppm
8:35 AM,17ppm
8:35 AM,17ppm
8:35 AM,17ppm
8:35 AM,17ppm
8:35 AM,17ppm
8:35 AM,18ppm
8:35 AM,18ppm
8:35 AM,19ppm
8:35 AM,19ppm
8:35 AM,19ppm
8:35 AM,21ppm
8:35 AM,22ppm
8:35 AM,23ppm
8:35 AM,25ppm
8:35 AM,29ppm
8:35 AM,32ppm
8:35 AM,34ppm
8:35 AM,36ppm
8:35 AM,37ppm
