Time,H2_Concentration
8:34 AM,24ppm
8:34 AM,24ppm
8:34 AM,24ppm
8:34 AM,24ppm
8:34 AM,24ppm
8:34 AM,24ppm
8:34 AM,24ppm
8:34 AM,24ppm
8:34 AM,24ppm
8:34 AM,24ppm
8:34 AM,24ppm
8:34 AM,26ppm
8:34 AM,26ppm
8:34 AM,26ppm
8:34 AM,27ppm
8:34 AM,27ppm
8:34 AM,27ppm
8:34 AM,27ppm
8:34 AM,27ppm
8:34 AM,27ppm
8:34 AM,27ppm
8:34 AM,28ppm
8:34 AM,28ppm
8:34 AM,28ppm
8:34 AM,28ppm
8:34 AM,28ppm
8:34 AM,28ppm
8:34 AM,28ppm
8:34 AM,28ppm
8:34 AM,28ppm
8:34 AM,28ppm
8:34 AM,29ppm
8:34 AM,29ppm
8:34 AM,29ppm
8:34 AM,29ppm
8:34 AM,29ppm
8:34 AM,29ppm
8:34 AM,29ppm
8:34 AM,29ppm
8:34 AM,29ppm
8:34 AM,29ppm
8:34 AM,29ppm
8:34 AM,29ppm
8:34 AM,30ppm
8:34 AM,30ppm
8:34 AM,30ppm
8:34 AM,30ppm
8:34 AM,30ppm
8:34 AM,30ppm
8:34 AM,30ppm
8:34 AM,30ppm
8:34 AM,30ppm
8:34 AM,30ppm
8:34 AM,30ppm
8:34 AM,30ppm
8:34 AM,30ppm
8:34 AM,30ppm
8:34 AM,30ppm
8:34 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,31ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,30ppm
8:35 AM,27ppm
8:36 AM,24ppm
8:36 AM,25ppm
8:36 AM,28ppm
8:36 AM,30ppm
8:36 AM,30ppm
8:36 AM,28ppm
8:36 AM,26ppm
8:36 AM,27ppm
8:36 AM,28ppm
8:36 AM,30ppm
8:36 AM,29ppm
8:36 AM,30ppm
8:36 AM,31ppm
8:36 AM,35ppm
8:36 AM,35ppm
8:36 AM,33ppm
8:36 AM,30ppm
8:36 AM,24ppm
8:36 AM,26ppm
8:36 AM,24ppm
8:36 AM,24ppm
8:36 AM,24ppm
8:36 AM,23ppm
8:36 AM,24ppm
8:36 AM,26ppm
8:36 AM,26ppm
8:36 AM,24ppm
8:36 AM,23ppm
8:36 AM,20ppm
8:36 AM,25ppm
8:36 AM,28ppm
8:36 AM,28ppm
8:36 AM,28ppm
8:36 AM,28ppm
8:36 AM,28ppm
8:36 AM,28ppm
8:36 AM,28ppm
8:36 AM,28ppm
8:36 AM,28ppm
8:36 AM,25ppm
8:36 AM,30ppm
8:36 AM,27ppm
8:36 AM,32ppm
8:36 AM,30ppm
8:36 AM,29ppm
8:36 AM,30ppm
8:36 AM,32ppm
8:36 AM,31ppm
8:36 AM,26ppm
8:36 AM,25ppm
8:36 AM,24ppm
8:36 AM,24ppm
8:36 AM,24ppm
8:36 AM,28ppm
8:36 AM,26ppm
8:36 AM,23ppm
8:36 AM,22ppm
8:36 AM,23ppm
8:36 AM,26ppm
8:36 AM,27ppm
8:37 AM,27ppm
8:37 AM,29ppm
8:37 AM,30ppm
8:37 AM,30ppm
8:37 AM,30ppm
8:37 AM,28ppm
8:37 AM,26ppm
8:37 AM,25ppm
8:37 AM,24ppm
8:37 AM,24ppm
8:37 AM,29ppm
8:37 AM,30ppm
8:37 AM,30ppm
8:37 AM,33ppm
8:37 AM,33ppm
8:37 AM,33ppm
8:37 AM,33ppm
8:37 AM,33ppm
8:37 AM,32ppm
8:37 AM,32ppm
8:37 AM,31ppm
8:37 AM,30ppm
8:37 AM,29ppm
8:37 AM,28ppm
8:37 AM,27ppm
8:37 AM,27ppm
8:37 AM,26ppm
8:37 AM,26ppm
8:37 AM,25ppm
8:37 AM,25ppm
8:37 AM,24ppm
8:37 AM,24ppm
8:37 AM,23ppm
8:37 AM,23ppm
8:37 AM,23ppm
8:37 AM,23ppm
8:37 AM,23ppm
8:37 AM,23ppm
8:37 AM,23ppm
8:37 AM,23ppm
8:37 AM,23ppm
8:37 AM,23ppm
8:37 AM,23ppm
8:37 AM,23ppm
8:37 AM,23ppm
8:37 AM,23ppm
8:37 AM,23ppm
8:37 AM,23ppm
8:37 AM,23ppm
8:37 AM,24ppm
8:37 AM,24ppm
8:37 AM,24ppm
8:37 AM,24ppm
8:37 AM,24ppm
8:37 AM,25ppm
8:37 AM,25ppm
8:37 AM,25ppm
8:37 AM,25ppm
8:37 AM,25ppm
8:37 AM,25ppm
8:38 AM,25ppm
8:38 AM,26ppm
8:38 AM,26ppm
8:38 AM,26ppm
8:38 AM,26ppm
8:38 AM,26ppm
8:38 AM,27ppm
8:38 AM,27ppm
8:38 AM,27ppm
8:38 AM,27ppm
8:38 AM,27ppm
8:38 AM,27ppm
8:38 AM,27ppm
8:38 AM,28ppm
8:38 AM,28ppm
8:38 AM,28ppm
8:38 AM,28ppm
8:38 AM,28ppm
8:38 AM,28ppm
8:38 AM,28ppm
8:38 AM,28ppm
8:38 AM,29ppm
8:38 AM,29ppm
8:38 AM,29ppm
8:38 AM,29ppm
8:38 AM,29ppm
8:38 AM,29ppm
8:38 AM,29ppm
8:38 AM,29ppm
8:38 AM,29ppm
8:38 AM,30ppm
8:38 AM,30ppm
8:38 AM,31ppm
8:38 AM,31ppm
8:38 AM,31ppm
8:38 AM,32ppm
8:38 AM,32ppm
8:38 AM,32ppm
8:38 AM,34ppm
8:38 AM,35ppm
8:38 AM,35ppm
8:38 AM,34ppm
8:38 AM,33ppm
8:38 AM,33ppm
8:38 AM,33ppm
8:38 AM,34ppm
8:38 AM,34ppm
8:38 AM,33ppm
8:38 AM,34ppm
8:38 AM,35ppm
8:38 AM,38ppm
8:38 AM,39ppm
8:38 AM,38ppm
8:38 AM,36ppm
8:38 AM,36ppm
8:38 AM,35ppm
8:38 AM,35ppm
8:38 AM,37ppm
8:38 AM,38ppm
8:38 AM,39ppm
8:39 AM,37ppm
8:39 AM,35ppm
8:39 AM,34ppm
8:39 AM,34ppm
8:39 AM,33ppm
8:39 AM,31ppm
8:39 AM,34ppm
8:39 AM,39ppm
8:39 AM,44ppm
8:39 AM,42ppm
8:39 AM,39ppm
8:39 AM,36ppm
8:39 AM,35ppm
8:39 AM,33ppm
8:39 AM,29ppm
8:39 AM,27ppm
8:39 AM,25ppm
8:39 AM,29ppm
8:39 AM,32ppm
8:39 AM,36ppm
8:39 AM,47ppm
8:39 AM,74ppm
8:39 AM,96ppm
8:39 AM,107ppm
8:39 AM,92ppm
8:39 AM,83ppm
8:39 AM,82ppm
8:39 AM,79ppm
8:39 AM,74ppm
