Time,H2_MQ8,Alcohol_MQ8,CO_MQ8,CH4_MQ8
8:34 AM, HYDROGEN:2ppm  ,  ALCOHOL:73ppm  ,  CARBON_MONOXIDE:6ppm  ,  METHANE:8ppm
8:34 AM, HYDROGEN:2ppm  ,  ALCOHOL:70ppm  ,  CARBON_MONOXIDE:5ppm  ,  METHANE:8ppm
8:34 AM, HYDROGEN:2ppm  ,  ALCOHOL:70ppm  ,  CARBON_MONOXIDE:5ppm  ,  METHANE:7ppm
8:34 AM, HYDROGEN:2ppm  ,  ALCOHOL:66ppm  ,  CARBON_MONOXIDE:5ppm  ,  METHANE:7ppm
8:34 AM, HYDROGEN:2ppm  ,  ALCOHOL:68ppm  ,  CARBON_MONOXIDE:5ppm  ,  METHANE:8ppm
8:34 AM, HYDROGEN:2ppm  ,  ALCOHOL:68ppm  ,  CARBON_MONOXIDE:5ppm  ,  METHANE:7ppm
8:34 AM, HYDROGEN:2ppm  ,  ALCOHOL:61ppm  ,  CARBON_MONOXIDE:2ppm  ,  METHANE:2ppm
8:34 AM, HYDROGEN:1ppm  ,  ALCOHOL:12ppm  ,  CARBON_MONOXIDE:0ppm  ,  METHANE:0ppm
8:34 AM, HYDROGEN:1ppm  ,  ALCOHOL:9ppm   , CARBON_MONOXIDE:0ppm   , METHANE:0ppm
8:34 AM, HYDROGEN:1ppm  ,  ALCOHOL:7ppm   , CARBON_MONOXIDE:0ppm   , METHANE:0ppm
8:34 AM, HYDROGEN:1ppm  ,  ALCOHOL:6ppm   , CARBON_MONOXIDE:0ppm   , METHANE:0ppm
8:34 AM, HYDROGEN:1ppm  ,  ALCOHOL:5ppm   , CARBON_MONOXIDE:0ppm   , METHANE:0ppm
8:34 AM, HYDROGEN:1ppm  ,  ALCOHOL:5ppm   , CARBON_MONOXIDE:0ppm   , METHANE:0ppm
8:34 AM, HYDROGEN:1ppm  ,  ALCOHOL:5ppm   , CARBON_MONOXIDE:0ppm   , METHANE:0ppm
8:34 AM, HYDROGEN:1ppm  ,  ALCOHOL:5ppm   , CARBON_MONOXIDE:0ppm   , METHANE:0ppm
8:34 AM, HYDROGEN:1ppm  ,  ALCOHOL:5ppm   , CARBON_MONOXIDE:0ppm   , METHANE:0ppm
8:34 AM, HYDROGEN:1ppm  ,  ALCOHOL:5ppm   , CARBON_MONOXIDE:0ppm   , METHANE:0ppm
8:34 AM, HYDROGEN:1ppm  ,  ALCOHOL:5ppm   , CARBON_MONOXIDE:0ppm   , METHANE:0ppm
8:34 AM, HYDROGEN:1ppm  ,  ALCOHOL:5ppm   , CARBON_MONOXIDE:0ppm   , METHANE:0ppm
8:34 AM, HYDROGEN:1ppm  ,  ALCOHOL:5ppm   , CARBON_MONOXIDE:0ppm   , METHANE:0ppm
8:34 AM, HYDROGEN:1ppm  ,  ALCOHOL:4ppm   , CARBON_MONOXIDE:0ppm   , METHANE:0ppm
8:34 AM, HYDROGEN:1ppm  ,  ALCOHOL:4ppm   , CARBON_MONOXIDE:0ppm   , METHANE:0ppm
8:34 AM, HYDROGEN:1ppm  ,  ALCOHOL:4ppm   , CARBON_MONOXIDE:0ppm   , METHANE:0ppm
