Time,With_CO
8:34 AM,186
8:34 AM,185
8:34 AM,185
8:34 AM,184
8:34 AM,185
8:34 AM,185
8:34 AM,184
8:34 AM,184
8:34 AM,183
8:34 AM,183
8:34 AM,183
8:34 AM,183
8:34 AM,182
8:34 AM,182
8:34 AM,182
8:34 AM,182
8:34 AM,182
8:34 AM,182
8:34 AM,182
8:34 AM,179
8:34 AM,192
8:34 AM,192
8:34 AM,195
8:34 AM,194
8:34 AM,191
8:34 AM,192
8:34 AM,199
8:34 AM,199
8:34 AM,190
8:34 AM,203
8:34 AM,206
8:34 AM,202
8:34 AM,205
8:34 AM,206
8:34 AM,209
8:34 AM,214
8:34 AM,221
8:34 AM,227
8:34 AM,252
8:34 AM,260
8:34 AM,249
8:34 AM,263
8:34 AM,264
8:34 AM,262
8:34 AM,252
8:34 AM,232
8:34 AM,231
8:34 AM,225
8:34 AM,254
8:34 AM,252
8:34 AM,228
8:34 AM,212
8:34 AM,229
8:34 AM,253
8:34 AM,255
8:34 AM,257
8:34 AM,263
8:34 AM,241
8:34 AM,244
8:35 AM,235
8:35 AM,236
8:35 AM,269
8:35 AM,271
8:35 AM,296
8:35 AM,314
8:35 AM,320
8:35 AM,303
8:35 AM,314
8:35 AM,314
8:35 AM,308
8:35 AM,289
8:35 AM,276
8:35 AM,291
8:35 AM,296
8:35 AM,294
8:35 AM,269
8:35 AM,285
8:35 AM,292
8:35 AM,273
8:35 AM,263
8:35 AM,282
8:35 AM,259
8:35 AM,247
8:35 AM,236
8:35 AM,227
8:35 AM,226
8:35 AM,218
8:35 AM,221
8:35 AM,230
8:35 AM,239
8:35 AM,268
8:35 AM,256
8:35 AM,266
8:35 AM,246
8:35 AM,250
8:35 AM,254
8:35 AM,268
8:35 AM,269
8:35 AM,284
8:35 AM,292
8:35 AM,314
8:35 AM,322
8:35 AM,310
8:35 AM,328
8:35 AM,335
8:35 AM,335
8:35 AM,328
8:35 AM,319
8:35 AM,308
8:35 AM,297
8:35 AM,272
8:35 AM,264
8:35 AM,227
8:35 AM,201
8:35 AM,233
8:35 AM,260
8:35 AM,270
8:35 AM,264
8:35 AM,275
8:36 AM,289
8:36 AM,298
8:36 AM,299
8:36 AM,288
8:36 AM,287
8:36 AM,294
8:36 AM,311
8:36 AM,320
8:36 AM,322
8:36 AM,318
8:36 AM,312
8:36 AM,305
8:36 AM,267
8:36 AM,283
8:36 AM,268
8:36 AM,256
8:36 AM,243
8:36 AM,269
8:36 AM,287
8:36 AM,299
8:36 AM,304
8:36 AM,305
8:36 AM,280
8:36 AM,293
8:36 AM,281
8:36 AM,275
8:36 AM,292
8:36 AM,303
8:36 AM,307
8:36 AM,307
8:36 AM,304
8:36 AM,298
8:36 AM,288
8:36 AM,291
8:36 AM,290
8:36 AM,288
8:36 AM,284
8:36 AM,280
8:36 AM,242
8:36 AM,256
8:36 AM,271
8:36 AM,282
