Time,Degrees,Fahrenheit
8:34 AM, 30.44 C  ,86.79 F
8:34 AM, 30.44 C  ,86.79 F
8:34 AM, 30.44 C  ,86.79 F
8:34 AM, 30.44 C  ,86.79 F
8:34 AM, -127.00 C,  -196.60 F
8:34 AM, 30.37 C  ,86.68 F
8:34 AM, 30.37 C  ,86.68 F
8:34 AM, 30.37 C  ,86.68 F
8:34 AM, 30.37 C  ,86.68 F
8:34 AM, 30.37 C  ,86.68 F
8:34 AM, 30.37 C  ,86.68 F
8:34 AM, -127.00 C,  -196.60 F
8:34 AM, 30.37 C  ,86.68 F
8:34 AM, 30.37 C  ,86.68 F
8:34 AM, 30.44 C  ,86.79 F
8:34 AM, 30.37 C  ,86.68 F
8:34 AM, 30.37 C  ,86.68 F
8:34 AM, 30.37 C  ,86.68 F
8:34 AM, -127.00 C,  -196.60 F
8:34 AM, 30.37 C  ,86.68 F
8:34 AM, 30.37 C  ,86.68 F
8:34 AM, 30.37 C  ,86.68 F
8:34 AM, 30.37 C  ,86.68 F
8:34 AM, 30.44 C  ,86.79 F
8:34 AM, -127.00 C,  -196.60 F
8:34 AM, 30.37 C  ,86.68 F
8:34 AM, -127.00 C,  -196.60 F
8:34 AM, 30.44 C  ,86.79 F
8:34 AM, 30.44 C  ,86.79 F
8:34 AM, 30.37 C  ,86.68 F
8:34 AM, -127.00 C,  -196.60 F
8:34 AM, 30.37 C  ,86.68 F
8:34 AM, 30.37 C  ,86.68 F
8:34 AM, 30.37 C  ,86.68 F
8:34 AM, 30.37 C  ,86.68 F
8:34 AM, 30.50 C  ,86.90 F
8:34 AM, 30.69 C  ,87.24 F
8:34 AM, 30.87 C  ,87.57 F
8:34 AM, 31.12 C  ,88.02 F
8:34 AM, 31.25 C  ,88.25 F
8:34 AM, 31.50 C  ,88.70 F
8:34 AM, 31.62 C  ,88.93 F
8:34 AM, 31.75 C  ,89.15 F
8:34 AM, 31.94 C  ,89.49 F
8:34 AM, 32.00 C  ,89.60 F
8:34 AM, 32.13 C  ,89.82 F
8:34 AM, 32.25 C  ,90.05 F
8:34 AM, 32.31 C  ,90.16 F
8:34 AM, 32.31 C  ,90.16 F
8:34 AM, 32.31 C  ,90.16 F
8:34 AM, 32.31 C  ,90.16 F
8:34 AM, 32.38 C  ,90.27 F
8:34 AM, 32.56 C  ,90.61 F
8:34 AM, 32.81 C  ,91.06 F
8:34 AM, 32.88 C  ,91.18 F
8:34 AM, 33.00 C  ,91.40 F
8:34 AM, 33.25 C  ,91.85 F
8:34 AM, 33.56 C  ,92.41 F
8:34 AM, 33.75 C  ,92.75 F
8:35 AM, 33.94 C  ,93.09 F
8:35 AM, 34.06 C  ,93.31 F
8:35 AM, 34.13 C  ,93.43 F
8:35 AM, 34.25 C  ,93.65 F
8:35 AM, 34.25 C  ,93.65 F
8:35 AM, 34.25 C  ,93.65 F
8:35 AM, 34.19 C  ,93.54 F
8:35 AM, 33.94 C  ,93.09 F
8:35 AM, 33.75 C  ,92.75 F
8:35 AM, 33.44 C  ,92.19 F
8:35 AM, 33.25 C  ,91.85 F
8:35 AM, 33.00 C  ,91.40 F
8:35 AM, 32.81 C  ,91.06 F
8:35 AM, 32.63 C  ,90.72 F
8:35 AM, 32.44 C  ,90.39 F
8:35 AM, 32.31 C  ,90.16 F
8:35 AM, 32.19 C  ,89.94 F
8:35 AM, 32.00 C  ,89.60 F
8:35 AM, 31.87 C  ,89.37 F
8:35 AM, 31.75 C  ,89.15 F
8:35 AM, -127.00 C,  -196.60 F
8:35 AM, 31.62 C  ,88.93 F
8:35 AM, 31.50 C  ,88.70 F
8:35 AM, 31.37 C  ,88.47 F
8:35 AM, 31.31 C  ,88.36 F
8:35 AM, -127.00 C,  -196.60 F
8:35 AM, 31.19 C  ,88.14 F
8:35 AM, 31.12 C  ,88.02 F
8:35 AM, 31.06 C  ,87.91 F
8:35 AM, -127.00 C,  -196.60 F
8:35 AM, -127.00 C,  -196.60 F
8:35 AM, 30.87 C  ,87.57 F
8:35 AM, 30.81 C  ,87.46 F
8:35 AM, 30.69 C  ,87.24 F
