Time,Air_quality_without_smoke
8:34 AM,285 PPM
8:34 AM,284 PPM
8:34 AM,284 PPM
8:34 AM,284 PPM
8:34 AM,283 PPM
8:34 AM,283 PPM
8:34 AM,283 PPM
8:34 AM,282 PPM
8:34 AM,282 PPM
8:34 AM,282 PPM
8:34 AM,282 PPM
8:34 AM,281 PPM
8:34 AM,281 PPM
8:34 AM,280 PPM
8:34 AM,280 PPM
8:34 AM,280 PPM
8:34 AM,280 PPM
8:34 AM,279 PPM
8:34 AM,279 PPM
8:34 AM,279 PPM
8:34 AM,278 PPM
8:34 AM,278 PPM
8:34 AM,278 PPM
8:34 AM,278 PPM
8:34 AM,277 PPM
8:34 AM,277 PPM
8:34 AM,277 PPM
8:34 AM,277 PPM
8:34 AM,276 PPM
8:34 AM,276 PPM
8:34 AM,275 PPM
8:34 AM,275 PPM
8:34 AM,275 PPM
8:34 AM,274 PPM
8:34 AM,274 PPM
8:34 AM,273 PPM
8:34 AM,273 PPM
8:34 AM,273 PPM
8:34 AM,273 PPM
8:34 AM,272 PPM
8:34 AM,272 PPM
8:34 AM,271 PPM
8:34 AM,271 PPM
8:34 AM,270 PPM
8:34 AM,269 PPM
8:34 AM,269 PPM
8:34 AM,269 PPM
8:34 AM,269 PPM
8:34 AM,268 PPM
8:34 AM,268 PPM
8:34 AM,267 PPM
8:34 AM,267 PPM
8:34 AM,267 PPM
